Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
220.0,1,0,1108530217,2025-11-03,5200000.0,33.547378,-117.771919,3336.0,203,1108530217,679.0,29.0,1,2.0,1998.0,4.0,385.0,3.0,1.0,1,2.0,12.0,1.0,0,2.0,170.0,552.0,0.0,10780.0,Train
137.0,1,0,1136766106,2025-11-03,1225000.0,33.848624,-117.81804,2533.0,9,1136766106,282.0,29.0,1,4.0,2018.0,3.0,23.0,5.0,1.0,1,2.0,12.0,1.0,0,2.0,247.0,589.0,146.0,3933.0,Train
221.0,1,1,1108487558,2025-11-03,1393700.0,33.159490000000005,-117.239354,2522.0,190,1108487558,357.0,38.0,1,2.0,2000.0,3.0,843.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,374.0,355.0,100.0,12632.4,Train
131.0,1,0,1136743822,2025-11-03,1899000.0,33.053311,-117.277052,2892.0,8,1136743822,332.0,38.0,1,6.0,1991.0,3.0,245.0,4.0,1.0,1,2.0,12.0,1.0,0,3.0,303.0,330.0,570.0,9498.0,Train
194.0,0,0,1136741456,2025-11-03,1107000.0,37.71086044,-122.06216975,1493.0,23,1136741456,894.0,0.0,1,2.0,1959.0,3.0,133.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,364.0,1009.0,0.0,5300.0,Train
131.0,1,0,1136722491,2025-11-03,349000.0,33.936275,-116.488455,1088.0,7,1136722491,170.0,34.0,1,2.0,1989.0,2.0,205.0,3.0,1.0,0,1.0,18.0,0.0,0,2.0,364.0,406.0,0.0,7405.0,Train
124.0,1,0,1111748273,2025-11-03,1315000.0,38.806476,-122.555312,6216.0,159,1111748273,628.0,16.0,1,3.0,2008.0,5.0,322.0,4.0,1.0,1,2.0,12.0,1.0,0,3.0,212.0,1430.0,0.0,435600.0,Train
221.0,0,1,1136717094,2025-11-03,1335000.0,34.175936,-118.438028,1497.0,8,1136717094,928.0,18.0,1,2.0,1952.0,3.0,831.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,228.0,0.0,6415.0,Train
220.0,0,0,1136906980,2025-11-03,1537500.0,34.112133,-118.083902,1858.0,23,1136906980,240.0,18.0,0,2.0,1941.0,2.0,698.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,285.0,0.0,9709.0,Train
221.0,1,1,1136946342,2025-11-03,1510000.0,32.77463714,-117.11876189,1198.0,11,1136946342,377.0,38.0,1,4.0,1952.0,2.0,694.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,375.0,0.0,11630.0,Train
221.0,0,0,1136939995,2025-11-03,1920000.0,37.31795176,-121.96304291,1555.0,8,1136939995,275.0,44.0,1,2.0,1958.0,3.0,700.0,3.0,1.0,1,1.0,18.0,0.0,0,2.0,253.0,1288.0,0.0,8400.0,Train
221.0,1,0,1136934002,2025-11-03,810000.0,34.210927000000005,-119.160258,2009.0,7,1136934002,915.0,57.0,0,0.0,1999.0,4.0,571.0,4.0,1.0,1,2.0,12.0,0.0,0,0.0,364.0,629.0,0.0,3920.0,Train
131.0,1,0,1136929280,2025-11-03,700000.0,33.987305,-117.459033,1709.0,4,1136929280,114.0,34.0,1,2.0,1977.0,2.0,671.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,155.0,498.0,0.0,9583.0,Train
137.0,1,0,1136925956,2025-11-03,2910000.0,37.22495348,-121.85148132,3353.0,7,1136925956,275.0,44.0,1,3.0,1996.0,4.0,700.0,4.0,1.0,1,1.0,18.0,0.0,0,3.0,308.0,1291.0,0.0,10650.0,Train
221.0,0,0,1136925142,2025-11-03,1050000.0,33.98083,-117.971895,2217.0,11,1136925142,223.0,18.0,1,2.0,1958.0,2.0,306.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,135.0,267.0,0.0,12196.0,Train
221.0,0,0,1136923148,2025-11-03,1160000.0,37.26019084,-121.88946121,1180.0,15,1136923148,275.0,44.0,1,2.0,1962.0,2.0,700.0,3.0,1.0,0,1.0,18.0,0.0,0,2.0,308.0,1289.0,0.0,6300.0,Train
